#,Team,Name,Average Sofascore rating,Saves,Clean sheets,Penalties faced,Penalties saved,Saves from inside box,Saved shots from outside the box,Goals conceded inside the box,Goals conceded outside the box,Punches,Runs out,Successful runs out,High claims,Crosses not claimed
1,Haras El Hedoud,Karim Emad,7.50,10,0,1,0,8,2,2,0,4,0,0,1,0
2,ENPPI,Abdelrahman Samir,7.20,6,1,0,0,4,2,2,0,0,1,1,1,0
3,Al-Masry,Essam Tharwat,7.18,43,6,2,0,27,15,11,0,9,3,3,5,0
4,Al Ahly FC,Mohamed El-Shenawy,7.13,66,17,4,2,34,32,13,0,12,7,7,22,0
5,Al Ahly FC,Ali Lotfi,7.13,5,3,0,0,4,1,0,0,1,1,1,3,0
6,Zamalek SC,Mohamed Awad,7.12,47,8,0,0,26,21,12,2,9,5,5,5,0
7,Pharco FC,Mahmoud El Sayed,7.10,3,0,1,0,1,2,1,0,2,0,0,2,0
8,El Dakhlya,Mohamed Magdi Abdel Fattah,7.07,9,1,1,1,9,0,4,0,2,0,0,2,0
9,Al-Mokawloon,Mahmoud Abou El-Saoud,7.06,89,14,12,2,51,38,30,3,46,2,2,28,0
10,Modern Future FC,Mahmoud Genesh,7.05,56,13,3,0,37,19,13,3,12,6,6,12,0
11,Ismaily,Mohamed Fawzi,7.02,28,3,2,2,12,15,10,1,5,2,2,8,0
12,Pyramids FC,Ahmed El-Shenawy,7.00,55,18,5,1,35,20,20,2,14,13,13,31,0
13,Al Ahly FC,Mostafa Shobeir,7.00,2,2,0,0,2,0,0,0,2,0,0,0,0
14,Ceramica Cleopatra,Mohamed Bassam,6.99,89,12,2,0,53,36,25,4,14,4,4,24,1
15,ENPPI,Reda Sayed,6.99,78,11,3,0,53,25,28,4,26,11,11,16,0
16,Modern Future FC,Mahmoud Hamdy,6.99,20,6,1,0,11,8,5,1,2,1,1,3,0
17,Al-Ittihad Alexandria,Mahdi Soliman,6.98,79,10,4,0,46,32,33,2,38,6,6,15,0
18,National Bank of Egypt,Mohamed Abou Gabal,6.95,75,10,4,1,42,32,22,6,21,8,8,25,1
19,Zamalek SC,Mohamed Sobhi,6.93,41,7,1,0,23,18,18,4,13,13,12,30,0
20,Haras El Hedoud,Mohamed Fawzi,6.92,60,5,6,2,39,21,24,4,14,3,2,36,0
21,Ismaily,Ahmed Adel,6.91,22,2,2,0,15,6,6,0,4,0,0,9,0
22,National Bank of Egypt,Ahmed Sobhi,6.90,23,1,2,0,14,9,7,2,1,1,1,7,0
23,Pharco FC,Mohamed Saeed Shika,6.86,76,13,3,0,44,32,28,4,24,4,4,19,2
24,Al-Masry,Mahmoud Gad,6.82,41,9,3,1,25,16,20,2,14,8,8,8,0
25,El Dakhlya,Emad El-Sayed,6.82,52,4,5,1,35,15,23,3,12,1,1,8,0
26,Ghazl El Mahalla,Mahmoud El Hadary,6.81,30,3,2,0,16,14,13,1,5,2,2,4,0
27,Tala'ea El-Gaish,Mohamed Shaaban,6.78,23,7,3,1,10,13,11,1,12,3,3,15,0
28,Smouha,El-Hani Soliman,6.78,55,9,5,0,34,21,28,0,7,5,4,35,0
29,Al-Ittihad Alexandria,Sobhy Soliman,6.77,9,2,0,0,4,5,3,1,1,1,1,4,0
30,Tala'ea El-Gaish,Omar Radwan,6.75,17,4,3,1,13,4,16,0,4,0,0,6,0
31,Ghazl El Mahalla,Ahmed Mayhoub,6.74,32,3,3,0,16,16,15,5,14,9,9,14,0
32,Aswan SC,Amr Hossam,6.73,88,5,9,0,52,36,41,3,16,11,11,16,1
33,Modern Future FC,Ahmed Yehia,6.70,0,1,0,0,0,0,0,0,2,0,0,0,0
34,Ghazl El Mahalla,Amr Shaaban,6.69,22,2,0,0,15,7,13,0,9,2,2,18,0
35,ENPPI,Abdel Aziz El Balouti,6.68,41,4,5,0,26,15,25,2,21,4,4,5,0
36,Ismaily,Mohamed Koko,6.67,30,2,6,0,19,11,19,2,8,2,2,0,0
37,Tala'ea El-Gaish,Ahmed Masoud,6.64,18,2,1,0,12,6,8,2,4,2,1,9,0
38,Smouha,Omar Salah,6.63,23,3,2,0,14,9,14,1,5,1,1,7,0
39,El Dakhlya,Mahmoud El Gharabawy,6.60,2,0,0,0,1,1,1,0,1,1,1,1,0
40,Al-Ittihad Alexandria,Amr Khalil,6.60,5,0,1,0,4,1,4,0,3,0,0,1,0
41,Haras El Hedoud,Ahmed El Saadani,6.59,22,2,1,0,15,7,12,1,3,2,2,4,0
42,Ceramica Cleopatra,Amer Mohamed,6.40,3,0,1,0,2,1,3,0,0,0,0,2,0
43,National Bank of Egypt,Mahmoud El Zanfaly,5.80,1,0,0,0,1,0,3,0,0,0,0,0,0
44,Aswan SC,Khaled Walid,-,0,0,0,0,0,0,1,0,0,0,0,0,0
45,Aswan SC,Islam Soliman,-,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Modern Future FC,Mohamed Tarek,-,0,0,0,0,0,0,1,0,0,0,0,0,0
47,Pyramids FC,Abdel Rahman Ayman,-,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Pharco FC,Sabry Gad,-,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Ceramica Cleopatra,Eslam Risha,-,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Pyramids FC,Youssef Nader,-,1,1,0,0,1,0,2,0,0,0,0,0,0
